genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total,time_range
[],https://api.spotify.com/v1/artists/2sXnk24vARe4jxHbd1HbEq,2sXnk24vARe4jxHbd1HbEq,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb3e97fe0da37fbc6ef6466905', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051743e97fe0da37fbc6ef6466905', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1783e97fe0da37fbc6ef6466905', 'width': 160}]",Million Eyes,57,artist,spotify:artist:2sXnk24vARe4jxHbd1HbEq,https://open.spotify.com/artist/2sXnk24vARe4jxHbd1HbEq,,39943,short_term
[],https://api.spotify.com/v1/artists/1KP6TWI40m7p3QBTU6u2xo,1KP6TWI40m7p3QBTU6u2xo,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb252d35c84fb363ff13fc0026', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174252d35c84fb363ff13fc0026', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178252d35c84fb363ff13fc0026', 'width': 160}]",BØRNS,67,artist,spotify:artist:1KP6TWI40m7p3QBTU6u2xo,https://open.spotify.com/artist/1KP6TWI40m7p3QBTU6u2xo,,1379491,short_term
[],https://api.spotify.com/v1/artists/26T3LtbuGT1Fu9m0eRq5X3,26T3LtbuGT1Fu9m0eRq5X3,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb766df8f443e0160f7b35545d', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174766df8f443e0160f7b35545d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178766df8f443e0160f7b35545d', 'width': 160}]",Cage The Elephant,74,artist,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,https://open.spotify.com/artist/26T3LtbuGT1Fu9m0eRq5X3,,4321337,short_term
[],https://api.spotify.com/v1/artists/6lyMYewq2SuTFIXgiv7OxH,6lyMYewq2SuTFIXgiv7OxH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba51b91e0d60c8b172f82e213', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a51b91e0d60c8b172f82e213', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a51b91e0d60c8b172f82e213', 'width': 160}]",Inhaler,60,artist,spotify:artist:6lyMYewq2SuTFIXgiv7OxH,https://open.spotify.com/artist/6lyMYewq2SuTFIXgiv7OxH,,511908,short_term
[],https://api.spotify.com/v1/artists/7FKTg75ADVMZgY3P9ZMRtH,7FKTg75ADVMZgY3P9ZMRtH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb724cced4ad8949fd70698843', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174724cced4ad8949fd70698843', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178724cced4ad8949fd70698843', 'width': 160}]",flipturn,61,artist,spotify:artist:7FKTg75ADVMZgY3P9ZMRtH,https://open.spotify.com/artist/7FKTg75ADVMZgY3P9ZMRtH,,272063,short_term
[],https://api.spotify.com/v1/artists/02MhYKsdx702etMa6tIDEA,02MhYKsdx702etMa6tIDEA,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0c55faa61daa688a14f68e06', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740c55faa61daa688a14f68e06', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780c55faa61daa688a14f68e06', 'width': 160}]",Permanent (Joy),27,artist,spotify:artist:02MhYKsdx702etMa6tIDEA,https://open.spotify.com/artist/02MhYKsdx702etMa6tIDEA,,4245,short_term
['alternative rock'],https://api.spotify.com/v1/artists/0C0XlULifJtAgn6ZNCW2eu,0C0XlULifJtAgn6ZNCW2eu,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb207b21f3ed0ee96adce3166a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174207b21f3ed0ee96adce3166a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178207b21f3ed0ee96adce3166a', 'width': 160}]",The Killers,79,artist,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,https://open.spotify.com/artist/0C0XlULifJtAgn6ZNCW2eu,,8070491,short_term
[],https://api.spotify.com/v1/artists/1kL35cnfsVSfKJ6xLk0K9f,1kL35cnfsVSfKJ6xLk0K9f,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb11adc50bde76991169a9531e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517411adc50bde76991169a9531e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17811adc50bde76991169a9531e', 'width': 160}]",Cardinal Bloom,45,artist,spotify:artist:1kL35cnfsVSfKJ6xLk0K9f,https://open.spotify.com/artist/1kL35cnfsVSfKJ6xLk0K9f,,20163,short_term
[],https://api.spotify.com/v1/artists/2VlmDb05CPERyCZfmZI3x7,2VlmDb05CPERyCZfmZI3x7,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc8370c45a235c7f74b813d5e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c8370c45a235c7f74b813d5e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c8370c45a235c7f74b813d5e', 'width': 160}]",Dogpark,51,artist,spotify:artist:2VlmDb05CPERyCZfmZI3x7,https://open.spotify.com/artist/2VlmDb05CPERyCZfmZI3x7,,62349,short_term
[],https://api.spotify.com/v1/artists/2y3PEaAgTdxYfbyeSXORv8,2y3PEaAgTdxYfbyeSXORv8,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb868b93ca69196c59226eabc0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174868b93ca69196c59226eabc0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178868b93ca69196c59226eabc0', 'width': 160}]",overpass,44,artist,spotify:artist:2y3PEaAgTdxYfbyeSXORv8,https://open.spotify.com/artist/2y3PEaAgTdxYfbyeSXORv8,,26647,short_term
